1582583,MARS: Link-layer rate selection for multicast transmissions in wireless mesh networks.,"IEEE 802.11 devices dynamically choose among different modulation schemes and bit-rates for frame transmissions. This rate adaptation, however, is restricted only to unicast frames. Multicast (and broadcast) frames are constrained to use a fixed low bit-rate modulation, resulting in low throughput for multicast streams. Availability of high bandwidth and efficient use of the medium is crucial to support multimedia multicast streaming applications such as IPTV, especially in multihop mesh networks. To address this problem, we propose a rate adaptation algorithm for multicast transmissions in these networks. The proposed algorithm, MARS, is distributed in nature, and relies on local network measurements to select a transmission bit-rate for a given multicast group. The algorithm also facilitates the joint use of bit-rate selection and link-layer mechanisms such as acknowledgements and retransmissions to improve reliability of high throughput multicast streams. Based on implementation and evaluation on a testbed, the algorithm provides up to 600% gain in throughput compared to traditional 802.11 networks in some scenarios. Additionally, the algorithm can support multicast streams while consuming a small fraction (20%) of the resources compared to the basic 802.11 operation.",2011,1582583,"Prashanth Aravinda Kumar Acharya,Elizabeth M. Belding",0
1582584,Optimal physical carrier sense in wireless networks.,"We investigate the problem of maximizing Medium Access Control (MAC) throughput in Carrier Sense Multiple Access (CSMA) wireless networks. By explicitly incorporating the carrier sense threshold and the transmit power into our analysis, we derive an analytical relation between MAC throughput and system parameters. In homogeneous networks, we derive the optimal carrier sense range at a given node density as a function of the ratio between the transmit power and the carrier sense threshold. The obtained optimal carrier sense range is smaller than that for covering the entire interference range, which is in sharp contrast to what has been considered to be optimal in previous studies. Only when the node density goes to infinity, the optimal carrier sense range converges to that for exactly covering the interference range, thereby eliminating all the hidden nodes. For nonhomogeneous networks, any distributed algorithm for tuning the carrier sense threshold, in which each node tries to maximize its own throughput without coordination, may significantly degrade MAC throughput. In order to properly design a distributed algorithm, each node not only considers its own throughput, but also needs to take account of its adverse impact on others. Our analysis is verified by simulation studies under various network scenarios.",2011,1582584,"Kyung-Joon Park,Jihyuk Choi,Jennifer C. Hou,Yih-Chun Hu,Hyuk Lim",0
1582589,MC-LMAC: A multi-channel MAC protocol for wireless sensor networks.,"In traditional wireless sensor network (WSN) applications, energy efficiency may be considered to be the most important concern whereas utilizing bandwidth and maximizing throughput are of secondary importance. However, recent applications, such as structural health monitoring, require high amounts of data to be collected at a faster rate. We present a multi-channel MAC protocol, MC-LMAC, designed with the objective of maximizing the throughput of WSNs by coordinating transmissions over multiple frequency channels. MC-LMAC takes advantage of interference and contention-free parallel transmissions on different channels. It is based on scheduled access which eases the coordination of nodes, dynamically switching their interfaces between channels and makes the protocol operate effectively with no collisions during peak traffic. Time is slotted and each node is assigned the control over a time slot to transmit on a particular channel. We analyze the performance of MC-LMAC with extensive simulations in Glomosim. MC-LMAC exhibits significant bandwidth utilization and high throughput while ensuring an energy-efficient operation. Moreover, MC-LMAC outperforms the contention-based multi-channel MMSN protocol, a cluster-based channel assignment method, and the single-channel CSMA in terms of data delivery ratio and throughput for high data rate, moderate-size networks of 100 nodes at different densities.",2011,1582589,"Özlem Durmaz Incel,Lodewijk van Hoesel,Pierre G. Jansen,Paul J. M. Havinga",0
1582591,Robust and flexible Internet connectivity for mobile ad hoc networks.,"An important challenge for the wider adoption of mobile ad hoc network (MANET) technologies is finding ways to efficiently interconnect them with the Internet. However, such interconnections prove difficult due to differences in mobility, addressing and routing between MANETs and existing IP networks. In this paper, we review the existing solutions to interconnect MANETs with the Internet, but find them lacking in robustness and flexibility. For instance, many solutions do not consider the presence of multiple gateways, and in such scenarios they either fail, or are less efficient due to the lack of multi-homing capabilities. A key insight of ours is that the reason for routing failure is usually an interconnection scheme's inability to express indirection (i.e., a way to enforce routing through a certain gateway on the path toward a destination in the Internet). Another problem concerns state replication where a route update fails to replicate all the routing state needed to forward packets to an Internet gateway. We analyze the above problems and suggest a solution that provides robust and flexible Internet connectivity. With minor adaptions our solution works for any MANET routing protocol, and has support for multiple gateways and multi-homing. Simulations show that, when used in combination with AODV routing, our solution provides up to 20% delivery ratio improvement over one of the main alternatives. A prototype implementation illustrates the feasibility of our solution in the real world.",2011,1582591,"Erik Nordström,Per Gunningberg,Christian F. Tschudin",0
1582593,Performance evaluation of distributed localization techniques for mobile underwater acoustic sensor networks.,"Underwater sensor networks (USN) are used for tough oceanographic missions where human operation is dangerous or impossible. In the common mobile USN architecture, sensor nodes freely float several meters below the surface and move with the force of currents. One of the significant challenges of the mobile USN is localization. In this paper, we compare the performance of three localization techniques; Dive and Rise Localization (DNRL), Proxy Localization (PL) and Large-Scale Localization (LSL). DNRL, PL and LSL are distributed, range-based localization schemes and they are suitable for large-scale, three dimensional, mobile USNs. Our simulations show that, DNRL and LSL can localize more than 90% of the underwater nodes with high accuracy while LSL has higher energy consumption and higher overhead than DNRL. The localization success and accuracy of PL is lower than the other techniques however it can localize underwater nodes faster when small number of beacons are employed.",2011,1582593,"Melike Erol-Kantarci,Sema F. Oktug,Luiz Filipe M. Vieira,Mario Gerla",0
1582602,Multipath optimized link state routing for mobile ad hoc networks.,"Multipath routing protocols for Mobile Ad hoc NETwork (MANET) address the problem of scalability, security (confidentiality and integrity), lifetime of networks, instability of wireless transmissions, and their adaptation to applications. Our protocol, called MultiPath OLSR (MP-OLSR), is a multipath routing protocol based on OLSR [1]. The Multipath Dijkstra Algorithm is proposed to obtain multiple paths. The algorithm gains great flexibility and extensibility by employing different link metrics and cost functions. In addition, route recovery and loop detection are implemented in MP-OLSR in order to improve quality of service regarding OLSR. The backward compatibility with OLSR based on IP source routing is also studied. Simulation based on Qualnet simulator is performed in different scenarios. A testbed is also set up to validate the protocol in real world. The results reveal that MP-OLSR is suitable for mobile, large and dense networks with large traffic, and could satisfy critical multimedia applications with high on time constraints.",2011,1582602,"Jiazi Yi,Asmaa Adnane,Sylvain David,Benoît Parrein",0
1582643,Lattice routing: A 4D routing scheme for multiradio multichannel ad hoc networks.,"An efficient channel assignment strategy ensures capacity maximization in a multiradio, multichannel ad hoc network. Existing mechanisms either use a static channel assignment or a centralized process intensive system that assigns channels to individual nodes. These are not effective in a dynamic environment with multiple flows that are active at different time instants. The protocol proposed in this work (Lattice routing) manages channels of the radios for the different nodes in the network using information about current channel conditions and adapts itself to varying traffic patterns in order to efficiently use the multiple channels. Further the protocol uses multipathing, a key mechanism that is found to alleviate bottlenecks present in single path routes in such an environment. Results indicate that Lattice routing consistently outperforms it closest competitor ((MCR) Kyasanur and Vaidya (2006) [1]) across a large number of experiments.",2011,1582643,"Sandeep Kakumanu,Stephan Eidenbenz,Raghupathy Sivakumar",0
1583920,Artificial Bee Colony (ABC) for multi-objective design optimization of composite structures.,"In this paper, we present a generic method/model for multi-objective design optimization of laminated composite components, based on Vector Evaluated Artificial Bee Colony (VEABC) algorithm. VEABC is a parallel vector evaluated type, swarm intelligence multi-objective variant of the Artificial Bee Colony algorithm (ABC). In the current work a modified version of VEABC algorithm for discrete variables has been developed and implemented successfully for the multi-objective design optimization of composites. The problem is formulated with multiple objectives of minimizing weight and the total cost of the composite component to achieve a specified strength. The primary optimization variables are the number of layers, its stacking sequence (the orientation of the layers) and thickness of each layer. The classical lamination theory is utilized to determine the stresses in the component and the design is evaluated based on three failure criteria: failure mechanism based failure criteria, maximum stress failure criteria and the tsai-wu failure criteria. The optimization method is validated for a number of different loading configurations-uniaxial, biaxial and bending loads. The design optimization has been carried for both variable stacking sequences, as well fixed standard stacking schemes and a comparative study of the different design configurations evolved has been presented. Finally the performance is evaluated in comparison with other nature inspired techniques which includes Particle Swarm Optimization (PSO), Artificial Immune System (AIS) and Genetic Algorithm (GA). The performance of ABC is at par with that of PSO, AIS and GA for all the loading configurations.",2011,1583920,"S. N. Omkar,J. Senthilnath,Rahul Khandelwal,G. Narayana Naik,S. Gopalakrishnan",0
1583949,SOMSE: A semantic map based meta-search engine for the purpose of web information customization.,"To combat information overload, systems that are often referred to as information customization systems are needed. Such systems act on the user's behalf and can rely on existing information services like search engines that do the resource-intensive part of the work. These systems will be sufficiently lightweight to run on an average PC and serve as personal assistants. Since such an assistant has relatively modest resource requirements it can reside on an individual user's machine. If the assistant resides on the user's machine, there is no need to turn down intelligence. The system can have substantial local intelligence. In this paper, we propose an information customization system that combines meta-search and unsupervised learning. A meta-search engine simultaneously searches multiple search engines and returns a single list of results. The results retrieved by this engine can be highly relevant, since it is usually grabbing the first items from the relevancy-ranked list of hits returned by the individual search engines. The Kohonen Feature Map is then used to construct a self-organizing semantic map such that documents of similar contents are placed close to one another.",2011,1583949,Mohamed Salah Hamdi,0
1583955,A cooperative immunological approach for detecting network anomaly.,"Technology and biological systems have now bi-directional relation that each benefits from the other. Biological systems naturally enjoy many attractive features and inherent intelligence that fit in solving many research problems. The natural immune system as one of those biological systems is considered a good source of inspiration to artificial defense systems. It has its own intelligent mechanisms to detect the foreign bodies and fight them and without it, an individual cannot live, even just for several days. The new types of network attacks evolved and became more complex, severe and hard to detect. This resulted in increasing need for network defense systems, and especially those with unordinary approaches or with ability to face the dynamic nature of new and continuously changing network threats. In this work we investigate different AIS theories and show how to combine different ideas to solve problems of network security domain. An Intrusion Detection System (IDS) that apply those ideas was built and tested in a real-time environment to test the pros and cons of Artificial Immune System (AIS) and clarify its applicability. Also some investigation on the vaccination biological process is introduced. A special module was built to perform this process and check its usage and how it could be formulated in artificial life.",2011,1583955,"Tarek S. Sobh,Wael M. Mostafa",0
